"win","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist"
TRUE,6,5,10,3,2,2,1061,1,0,0,0,0,110802,90524,19416,862,0,28732,24805,3094,832,569,1,0,0,0,0,0,16275,2287,13865,123,9880,9355,2,0,121,0,0,0,150,14,0,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TRUE,11,10,5,6,2,1,516,1,0,0,0,0,92615,3442,83807,5365,0,17645,1184,15216,1244,11860,1,22187,8372,1538,11,25,33597,3455,25382,4759,11686,11108,0,1,25,54,23,4,279,13,0,0,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,13,10,14,3,2,4,662,1,0,0,0,0,208976,202342,6633,0,739,43851,43033,817,0,2628,1,0,0,0,0,0,35146,12416,22234,495,17012,16210,0,0,198,6,0,6,288,18,0,0,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,7,1,3,7,1,1,1201,0,0,0,0,0,35622,11555,20206,3860,0,6347,2542,3436,368,29,1,0,0,0,0,0,8260,1718,6541,0,6940,6810,0,0,13,19,17,2,68,9,0,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,7,9,3,3,1,2,761,0,0,0,0,0,56145,37927,17095,1122,0,19493,13757,4612,1122,1961,1,0,0,0,0,0,29929,12283,17320,325,7921,7795,0,0,65,2,0,2,283,14,0,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,3,12,1,0,1,0,422,0,0,0,0,0,150823,141874,8257,691,0,25371,23293,1387,691,60,1,0,0,0,0,0,36421,3085,31915,1421,10571,10185,0,0,187,6,6,0,132,15,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,10,13,8,3,2,4,942,1,0,0,0,0,169877,141933,16628,11316,0,35528,32559,1394,1574,17669,1,0,0,0,0,0,46431,18440,26731,1260,13977,12870,0,0,65,47,40,7,471,16,0,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,6,10,11,2,1,1,732,0,0,0,0,0,74601,57716,16884,0,0,21654,17350,4303,0,3288,1,0,0,0,0,0,36669,19642,16133,893,13215,12400,0,0,48,2,2,0,202,16,0,0,9,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,15,9,11,3,2,5,454,1,0,0,0,0,99981,86027,13028,926,0,24044,21518,1599,926,1110,1,0,0,0,0,0,24407,8626,14795,985,15056,13200,0,1,102,3,3,0,411,16,0,0,9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,7,6,22,3,2,1,613,1,0,0,0,0,131582,101839,18216,11527,0,16488,12372,2180,1935,35377,1,47540,11808,1288,6,62,51715,20114,26454,5146,15344,13825,0,0,88,28,17,11,628,18,0,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,8,10,13,3,1,1,382,0,0,0,0,0,131877,22446,93335,16095,0,15575,7558,7342,674,18457,1,0,0,0,0,0,43067,10894,31856,316,15047,13625,4,0,53,50,32,18,1002,16,0,0,7,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
FALSE,4,17,12,0,1,0,289,0,0,0,0,0,86044,73250,11184,1610,399,24011,20096,2376,1538,12207,1,0,0,0,0,0,36705,16284,14567,5853,13675,13450,1,0,89,0,0,0,1317,14,0,0,10,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
TRUE,7,4,10,3,1,2,1001,0,0,0,0,0,101181,65085,29921,6174,0,18664,11416,6219,1028,6146,1,0,0,0,0,0,23790,9788,13144,857,11598,11410,1,0,61,55,28,27,267,14,0,0,9,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,5,13,6,2,2,2,265,1,0,0,0,0,71576,57728,11001,2846,599,14996,12898,758,1340,5669,1,12145,2677,392,20,18,26961,13751,12307,902,9086,8675,0,0,16,59,34,4,271,13,0,0,9,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
